Year,Historic mark-recapture border passage estimate,RR Canadian mainstem border passage estimate,RR Spawning escapement estimate,Historic Canadian origin total run size estimate,RR Canadian origin total run size estimate
1982,36598,53801,35777,147587,162185
1983,47741,75106,55250,160221,183136
1984,43911,86222,68331,111035,138298
1985,29881,58375,39082,145359,158372
1986,36479,70897,49804,159082,176175
1987,30823,53119,33795,174128,176108
1988,44445,74241,49442,145675,160326
1989,42620,79811,60545,164516,166594
1990,56679,106338,85985,151188,178126
1991,41187,72498,51662,124382,141490
1992,43185,66660,46024,154219,179658
1993,45027,73855,55346,131528,159529
1994,46680,85286,64047,172885,192917
1995,52353,91632,69485,168502,214663
1996,47955,95644,76425,182564,195905
1997,53400,100701,83707,161700,199464
1998,22588,41699,35520,88282,97139
1999,23716,59136,47002,110446,124131
2000,16173,26623,21345,52842,53788
2001,52207,78959,68219,85663,103240
2002,49214,58614,48542,81486,93774
2003,56929,104907,94909,149980,172467
2004,48111,66778,55433,117246,127492
2005,42245,81527,69335,123612,131682
2006,36748,73683,64261,119485,126125
2007,22120,41692,36229,88018,92824
2008,14666,38079,33885,62611,69577
2009, NA ,69951,64971,87221,86638
2010, NA ,35071,32250,59741,62767
2011, NA ,52265,47008,71725,70497
2012, NA ,34743,32328,48498,51449
2013, NA ,30730,28488,37177,39617
2014, NA ,63479,63370,64886,65111
2015, NA ,83947,82695,87323,88341
2016, NA ,72310,69164,83043,83796
2017, NA ,73279,69387,92622,99946
2018, NA ,57885,54595,76530,76646
2019, NA ,45570,42193,72620,85148
2020, NA ,33564,30646,45501,52140
2021, NA ,31854,31509,32970,33239
2022, NA ,12069,12009,13144,13360
2023, NA ,14781,14576, NA ,15816
2024, NA ,24186,24184, NA ,25390
