"region","species","year","spawners","smoothedSpawners","runsize","smoothedRunsize"
"Yukon","Chinook",1982,43538,43538.01,147587,147587.01
"Yukon","Chinook",1983,44475,44004.0160681965,160221,153774.314516697
"Yukon","Chinook",1984,50005,45919.7359980299,111035,137956.609331821
"Yukon","Chinook",1985,40435,44482.4731851978,145359,139771.096749831
"Yukon","Chinook",1986,41425,43853.4398424752,159082,143435.982418504
"Yukon","Chinook",1987,41307,43418.3865395871,174128,148147.115419567
"Yukon","Chinook",1988,39699,42755.520483325,145675,147825.498915225
"Yukon","Chinook",1989,60299,44980.5283310975,164516,148478.693439051
"Yukon","Chinook",1990,59212,46265.5006868834,151188,156317.298069862
"Yukon","Chinook",1991,42728,46692.7857337086,124382,152309.260226074
"Yukon","Chinook",1992,39155,46256.2659513984,154219,151523.193733606
"Yukon","Chinook",1993,36244,45259.1074415279,131528,144600.807330682
"Yukon","Chinook",1994,56449,47993.8320196539,172885,148787.38062862
"Yukon","Chinook",1995,50673,46622.6026554353,168502,149382.222926106
"Yukon","Chinook",1996,74060,48394.0728925925,182564,154151.783489956
"Yukon","Chinook",1997,53821,50291.976479105,161700,161042.54792349
"Yukon","Chinook",1998,35497,49476.5538800986,88282,146744.900029232
"Yukon","Chinook",1999,37184,49688.1437857032,110446,142533.947666841
"Yukon","Chinook",2000,25870,43629.0896061322,52842,116982.790986068
"Yukon","Chinook",2001,52564,43896.3202142037,85663,104508.918304293
"Yukon","Chinook",2002,42358,39993.254392596,81486,91361.8041448406
"Yukon","Chinook",2003,80594,42777.1551823244,149980,90223.2684048164
"Yukon","Chinook",2004,48469,45056.4836775945,117246,94592.3900707475
"Yukon","Chinook",2005,67985,49823.4104916149,123612,96384.6715653359
"Yukon","Chinook",2006,62630,57733.9271361643,119485,110424.045616901
"Yukon","Chinook",2007,34904,53925.6728057421,88018,110924.298333487
"Yukon","Chinook",2008,33883,51956.1120652692,62611,106158.465679319
"Yukon","Chinook",2009,65278,50162.6727620053,87221,96988.2794668104
"Yukon","Chinook",2010,32014,46812.3010861831,59741,86679.2217343611
"Yukon","Chinook",2011,46307,43910.2172015528,71725,79161.9824078699
"Yukon","Chinook",2012,32656,39393.9042719927,48498,68116.4088997814
"Yukon","Chinook",2013,28669,38122.8406554193,37177,59002.2938293176
"Yukon","Chinook",2014,63331,42311.425659944,64886,59354.3139143649
"Yukon","Chinook",2015,82674,44010.6728563965,87323,59365.8768625918
"Yukon","Chinook",2016,68798,49995.4684101922,83043,62715.5603871879
"Yukon","Chinook",2017,68315,53342.7671667437,92622,65445.9191051815
"Yukon","Chinook",2018,54474,58091.5875698359,76530,70615.5825838821
"Yukon","Chinook",2019,42052,61921.6122949448,72620,78952.1911532198
"Yukon","Chinook",2020,30967,54961.1822203822,45501,74417.6323892459
"Yukon","Chinook",2021,31452,46784.5689949148,32970,63266.563571403
"Yukon","Chinook",2022,11978,34959.9469844449,13144,46531.2849271995
"Yukon","Chum",1980,22912,22912.01,NA,NA
"Yukon","Chum",1981,47066,32838.649359864,NA,NA
"Yukon","Chum",1982,31958,32542.4390722031,NA,NA
"Yukon","Chum",1983,90875,42067.6927424937,NA,NA
